2021-05-07 18:13:08.325255	https://www.encodeproject.org/cart-report/?type=Experiment&cart=%2Fcarts%2Fbb87d192-cfd4-4769-aa11-45f959ca27cf%2F&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&advancedQuery=date_released%3A%5B2009-01-01+TO+2021-12-31%5D&limit=all
ID	Accession	Assay name	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates	Mixed biosamples
/experiments/ENCSR388RWE/	ENCSR388RWE	long read RNA-seq	long read RNA-seq			HCT116	HCT116		HCT 116 cell line	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF337VWR/,/files/ENCFF624KKQ/,/files/ENCFF776BTJ/,/files/ENCFF400LRT/,/files/ENCFF242HKF/		ENCBS375FZQ	1	1		Homo sapiens	adult	48 years										/replicates/a5817a8d-62bf-4f88-a84d-7e362a71e09a/	
/experiments/ENCSR986WKB/	ENCSR986WKB	long read RNA-seq	long read RNA-seq			lower lobe of left lung tissue male adult (60 years)	lower lobe of left lung		ENC4_39 W78 left lobe of lung	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF341BSQ/,/files/ENCFF494CUI/,/files/ENCFF924HBV/,/files/ENCFF792FCJ/,/files/ENCFF441SZI/		ENCBS913GGJ	1	1		Homo sapiens	adult	60 years										/replicates/9e1daf80-78ce-49b9-80af-b6f9e2bdb85f/	
/experiments/ENCSR148IIG/	ENCSR148IIG	long read RNA-seq	long read RNA-seq			endothelial cell	endothelial cell		PGP1 derived endothelial-cells	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF595PPR/,/files/ENCFF770DXN/,/files/ENCFF155FLU/,/files/ENCFF295PZY/,/files/ENCFF759CJE/,/files/ENCFF610AYK/,/files/ENCFF100RGC/,/files/ENCFF544UQO/,/files/ENCFF927MKK/,/files/ENCFF588NYS/		ENCBS239VAD	1	1,2		Homo sapiens	adult	53 years										/replicates/2fd7ef1b-2527-4d3c-bf48-dec5731b6ef2/,/replicates/89edb725-a523-4bab-938a-fed291d5f1c1/	
/experiments/ENCSR887LTD/	ENCSR887LTD	long read RNA-seq	long read RNA-seq			HL-60	HL-60		Homo sapiens HL-60	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF609QIM/,/files/ENCFF274DYS/,/files/ENCFF810FRP/,/files/ENCFF909ICR/,/files/ENCFF067OVE/,/files/ENCFF494IOG/,/files/ENCFF600MGT/,/files/ENCFF376DFZ/,/files/ENCFF770VLX/,/files/ENCFF310RKT/		ENCBS416JRX,ENCBS313YIM	1,2	1		Homo sapiens	adult	36 years										/replicates/0ed18f00-17cb-404b-80d8-38eb1911818b/,/replicates/1beee4a6-283f-4bdd-98df-2ed43eecf169/	
/experiments/ENCSR657HJW/	ENCSR657HJW	long read RNA-seq	long read RNA-seq			right lobe of liver tissue female adult (41 years)	right lobe of liver		W61 right lobe of liver	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF306ZPP/,/files/ENCFF999AKN/,/files/ENCFF202FPL/,/files/ENCFF425JER/,/files/ENCFF074WRN/		ENCBS823URA	1	1		Homo sapiens	adult	41 years										/replicates/05c1b4bf-c5a0-4ab5-b4c7-e125c44c06e4/	
/experiments/ENCSR746ITG/	ENCSR746ITG	long read RNA-seq	long read RNA-seq			left lung tissue female child (16 years)	left lung	GEO:GSE143131	ENC4_79 W62 left lung	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF733RRO/,/files/ENCFF196NGA/,/files/ENCFF212OOP/,/files/ENCFF300BYP/,/files/ENCFF496QJH/,/files/ENCFF112ZCW/,/files/ENCFF386BBR/,/files/ENCFF024FNJ/,/files/ENCFF809QBD/		ENCBS725WGH	1	1		Homo sapiens	child	16 years										/replicates/aba84256-6675-46d1-8f12-8b78b98f7aab/	
/experiments/ENCSR056MYH/	ENCSR056MYH	long read RNA-seq	long read RNA-seq			neural crest cell	neural crest cell		H9-derived neural crest cells	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF026VEI/,/files/ENCFF249GFH/,/files/ENCFF322UOY/,/files/ENCFF123SOB/,/files/ENCFF858LGV/,/files/ENCFF319JFG/,/files/ENCFF286KOH/,/files/ENCFF901XCR/,/files/ENCFF700KVM/,/files/ENCFF313WGU/		ENCBS200JOD,ENCBS417JEU	1,2	1		Homo sapiens	embryonic	5 days										/replicates/9d4c3615-346b-47ef-a4cc-184f49347142/,/replicates/9e2ab682-9b54-4510-8733-5296f23f881b/	
/experiments/ENCSR899GAP/	ENCSR899GAP	long read RNA-seq	long read RNA-seq			Right ventricle myocardium superior tissue male adult (60 years)	Right ventricle myocardium superior		ENC4_56 W78 right ventricle myocardium superior	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF665LBS/,/files/ENCFF160SEP/,/files/ENCFF717ARV/,/files/ENCFF840OVC/,/files/ENCFF348HQO/		ENCBS275SXU	1	1		Homo sapiens	adult	60 years										/replicates/45a42dd5-085f-46ac-b511-ccda04503f8f/	
/experiments/ENCSR904KAT/	ENCSR904KAT	long read RNA-seq	long read RNA-seq			endodermal cell	endodermal cell		H9-derived definitive endoderm	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF142LPL/,/files/ENCFF561HIY/,/files/ENCFF381WCH/,/files/ENCFF170KET/,/files/ENCFF936VUF/,/files/ENCFF939EUU/,/files/ENCFF916JXJ/,/files/ENCFF849BPR/,/files/ENCFF305FZC/,/files/ENCFF371CZD/		ENCBS601OTT,ENCBS958FWY	1,2	1		Homo sapiens	embryonic	5 days										/replicates/c605583f-bea0-41cb-94c0-5bd064ff049e/,/replicates/af238f92-66a2-4ea6-ae92-3e84be99238f/	
/experiments/ENCSR181CES/	ENCSR181CES	long read RNA-seq	long read RNA-seq			Panc1	Panc1		Panc1 cell line	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF990CUL/,/files/ENCFF830DIW/,/files/ENCFF786LUJ/,/files/ENCFF745DHX/,/files/ENCFF218FJR/		ENCBS777OZT	1	1		Homo sapiens	adult	56 years										/replicates/aaba0789-8df9-4327-82b5-633a47d586d5/	
